date ;members
09.04.2016;1
10.04.2016;1
11.04.2016;4
12.04.2016;21
13.04.2016;35
14.04.2016;43
15.04.2016;104
16.04.2016;130
17.04.2016;142
18.04.2016;160
19.04.2016;173
20.04.2016;181
21.04.2016;186
22.04.2016;195
23.04.2016;197
24.04.2016;204
25.04.2016;208
26.04.2016;211
27.04.2016;217
28.04.2016;222
29.04.2016;224
30.04.2016;227
01.05.2016;233
02.05.2016;238
03.05.2016;241
04.05.2016;245
05.05.2016;247
06.05.2016;249
07.05.2016;255
08.05.2016;258
09.05.2016;267
10.05.2016;272
11.05.2016;277
12.05.2016;281
13.05.2016;282
14.05.2016;284
15.05.2016;284
16.05.2016;289
17.05.2016;291
18.05.2016;295
19.05.2016;297
20.05.2016;300
21.05.2016;302
22.05.2016;305
23.05.2016;305
24.05.2016;306
25.05.2016;308
26.05.2016;309
27.05.2016;312
28.05.2016;313
29.05.2016;322
30.05.2016;322
31.05.2016;324
01.06.2016;328
02.06.2016;332
03.06.2016;333
04.06.2016;335
05.06.2016;339
06.06.2016;345
07.06.2016;346
08.06.2016;352
09.06.2016;356
10.06.2016;359
11.06.2016;364
12.06.2016;365
13.06.2016;368
14.06.2016;375
15.06.2016;380
16.06.2016;384
17.06.2016;388
18.06.2016;389
19.06.2016;395
20.06.2016;398
21.06.2016;409
22.06.2016;413
23.06.2016;416
24.06.2016;420
25.06.2016;422
26.06.2016;423
27.06.2016;425
28.06.2016;426
29.06.2016;431
30.06.2016;431
01.07.2016;433
02.07.2016;435
03.07.2016;435
04.07.2016;435
05.07.2016;437
06.07.2016;439
07.07.2016;443
08.07.2016;444
09.07.2016;445
10.07.2016;448
11.07.2016;452
12.07.2016;456
13.07.2016;456
14.07.2016;457
15.07.2016;457
16.07.2016;459
17.07.2016;460
18.07.2016;462
19.07.2016;463
20.07.2016;468
21.07.2016;474
22.07.2016;476
23.07.2016;476
24.07.2016;477
25.07.2016;477
26.07.2016;478
27.07.2016;478
28.07.2016;479
29.07.2016;482
30.07.2016;485
31.07.2016;485
01.08.2016;490
02.08.2016;494
03.08.2016;497
04.08.2016;501
05.08.2016;503
06.08.2016;506
07.08.2016;507
08.08.2016;508
09.08.2016;509
10.08.2016;511
11.08.2016;511
12.08.2016;513
13.08.2016;513
14.08.2016;514
15.08.2016;516
16.08.2016;517
17.08.2016;518
18.08.2016;521
19.08.2016;521
20.08.2016;522
21.08.2016;526
22.08.2016;530
23.08.2016;531
24.08.2016;531
25.08.2016;532
26.08.2016;533
27.08.2016;533
28.08.2016;538
29.08.2016;541
30.08.2016;549
31.08.2016;549
01.09.2016;552
02.09.2016;554
03.09.2016;556
04.09.2016;558
05.09.2016;559
06.09.2016;561
07.09.2016;562
08.09.2016;563
09.09.2016;564
10.09.2016;568
11.09.2016;568
12.09.2016;571
13.09.2016;574
14.09.2016;574
15.09.2016;576
16.09.2016;579
17.09.2016;579
18.09.2016;582
19.09.2016;586
20.09.2016;587
21.09.2016;587
22.09.2016;589
23.09.2016;590
24.09.2016;591
25.09.2016;595
26.09.2016;597
27.09.2016;600
28.09.2016;601
29.09.2016;605
30.09.2016;611
01.10.2016;612
02.10.2016;615
03.10.2016;617
04.10.2016;625
05.10.2016;628
06.10.2016;637
07.10.2016;639
08.10.2016;645
09.10.2016;647
